AYPY,莫爾茲比港,Port Moresby
CYEG,Edmonton,Edmonton
CYVR,溫哥華,Vancouver
CYYC,卡加利,Calgary
CYYZ,多倫多,Toronto
CYUL,蒙特利爾,Montréal
DAAG,阿爾及爾,Algiers
DGAA,阿克拉,Accra
DNAA,阿布賈,Abuja
EBBR,布魯塞爾,Brussels
EBLG,列日,Liege
EDDB,柏林/BER,Berlin/BER
EDDF,法蘭克福,Frankfurt
EDDK,科隆,Cologne
EDDL,杜塞爾多夫,Düsseldorf
EDDM,慕尼黑,Munich
EDDP,萊比錫,Leipzig
EDDT,柏林/TXL,Berlin/TXL
EDDV,漢諾威,Hannover
EDWD,萊姆韋德,Lemwerder
EFHK,赫爾辛基,Helsinki
EGAC,貝爾法斯特,Belfast
EGBB,伯明翰,Birmingham
EGCC,曼徹斯特,Manchester
EGFF,卡迪夫,Cardiff
EGGD,布里斯托,Bristol
EGGP,利物浦,Liverpool
EGHI,南安普敦,Southampton
EGKK,倫敦/格域,London/LGW
EGLC,倫敦/城市,London/LCY
EGLL,倫敦/希斯路,London/LHR
EGNT,紐卡素,Newcastle
EGNX,東密德蘭,East Midlands
EGPD,鴨巴甸,Aberdeen
EGPF,格拉斯哥,Glasgow
EGPH,愛丁堡,Edinburgh
EGSS,倫敦/史丹斯德,London/STN
EHAM,阿姆斯特丹,Amsterdam
EIDW,都柏林,Dublin
ELLX,盧森堡,Luxembourg
EKCH,哥本哈根,Copenhagen
ENBR,卑爾根,Bergen
ENGM,奧斯陸,Oslo
EPWA,華沙,Warzaw
ESSA,斯德哥爾摩,Stockholm
EVRA,里加,Riga
FACT,開普敦,Cape Town
FAOR,約翰尼斯堡,Johannesburg
FAUP,烏平通,Upington
FIMP,路易港,Port Louis
FHSH,聖赫勒拿,Saint Helena
FTTC.阿貝歇,Abéché
GCTS,南特內里費,Tenerife South
GCRR,蘭薩羅特島,Lanzarote
GCXO,北特內里費,Tenerife North
GMMX,馬拉喀什,Marrakech
HAAB,亞的斯亞貝巴,Addis Ababa
HEAX,亞歷山大,Alexandria
HECA,開羅,Cairo
HKJK,肯雅塔,Kenyatta
KABQ,阿爾伯克基,Albuquerque
KACY,大西洋城,Atlantic City
KATL,亞特蘭大,Atlanta
KBHM,伯明罕,Birmingham
KBOS,波士頓,Boston
KCMH,哥倫布,
KCVG,辛辛那提,Cincinnati
KDFW,達拉斯,Dallas FT.Worth
KEWR,紐約/紐瓦克,New York/EWR
KIAD,華盛頓,Washington
KIAH,休斯敦.Houston
KIND.印第安納波利斯.Indianapolis
KJFK,紐約/甘迺迪,New York/JFK
KLAS,拉斯維加斯,Las Vegas
KLAX,洛杉磯,Los Angeles
KMIA,邁阿密,Miami
KMEM,孟菲斯,Memphis
KONT,安大略,Ontario
KORD,芝加哥,Chicago
KPDX,波特蘭,Portland
KPHL,費城,Philadelphia
KSDF,路易斯維爾,Louisville
KSEA,西雅圖,Seattle
KSFO,三藩市,San Francisco
LEBL,巴塞隆拿,Barcelona
LEMD,馬德里,Madrid
LEMG,馬拉加,Malaga
LFBO,圖盧茲,Toulouse
LFML,馬賽,Marseille
LFMN,尼斯,Nice
LFOK,瓦特里,Vatry
LFPG,巴黎,Paris
LGAV,雅典,Athens
LGKR,Corfu,Corfu
LHBP,布達佩斯,Budapest
LIMC,米蘭,Milan/MXP
LIME,米蘭,Milan/BGY
LIMF,都靈,Torino
LIMP,帕爾馬,Parma
LIRF,羅馬,Roma
LIRP,比薩,Pisa
LIRN,拿坡里,Napoli
LKPR,布拉格,Prague
LLBG,特拉維夫,Tel Aviv
LOWW,維也納,Vienna
LPMA.馬德拉.Madeira
LSGG,日內瓦,Geneve
LSZH,蘇黎世,Zurich
LTFM,伊斯坦堡,Istanbul
LUKK,基希涅夫,Chișinău
LXGB,直布羅陀,Gibraltar
MMGL,瓜達拉哈拉,Guadalajara
MMMX,墨西哥城,Mexico City
MWCR,開曼群島,Cayman Islands
NFFN,楠迪,Nadi
NGTB,阿貝馬馬,Abemama Atoll
NSTU,NSTU,Pago Pago
NZAA,奧克蘭,Auckland
NZCH,基督城,Christchurch
NZWB,布倫亨,Blenheim
OAKB,喀布爾,Kabul
OAMS,馬扎里,Mazari
OBBI,巴林,Bahrain
OEDF,達曼,Dammam
OEJN,吉達,Jeddah
OERK,利雅得,Riyadh
OIIE,德黑蘭,Tehran
OJAI,安曼,Amman
OKBK,科威特,Kuwait
OLBA,貝魯特,Beirut
OMAA,阿布扎比,Abu Dhabi
OMDB,杜拜,Dubai
OMDW,杜拜/DWC,Dubai/DWC
OMSJ,沙迦,Sharjah
OOMS,馬斯喀特,Muscat
OSAP,阿勒頗,Aleppo
OTHH,多哈,Doha
OYAA,亞丁,Aden
PAFA,Fairbanks,Fairbanks
PANC,安克雷奇,Anchorage
PGSN,塞班,Saipan
PGUM,關島,Grum
PHNL,檀香山,Honolulu
RCAY,岡山,Kangshan
RCBS,金門,Kimmen
RCCM,七美,Cimei
RCFG,南竿,Nangan
RCFN,臺東,Taitung
RCGI,綠島,Lyudao
RCGM,桃園,Taoyuan AFB
RCKH,高雄,kaohsiung
RCKU,嘉義,Chiayi
RCKW,恆春,Hengchun
RCLM,東沙,Dongsha
RCLY,蘭嶼,Lanyu
RCMQ,台中,Taichung
RCMT,北竿,Beigan
RCNN,臺南,Tainan
RCPO,新竹,Hsinchu AFB
RCQC,澎湖,Penghu
RCSP,太平島,Taiping Island
RCSQ,屏東,Pingtung
RCTP,台北,Taipei
RCSS,台北/松山,Taipei/Songshan
RCWA,望安,Wang An
RCYU,花蓮,Hualien
RJAA,東京/成田,Tokyo/NRT
RJAF,松本,Matsumoto
RJAH,茨城,Ibaraki
RJAK,霞ヶ浦,Kasumigaura
RJAM,南鳥島,Minami torishima
RJAN,新島,Niijuma
RJAZ,神津島,Kozushima
RJBB,大阪/關西,Osaka/KIX
RJBD,南紀白濱,Nanki-Shirahama
RJBE,神戸,Kobe
RJBH,廣島西,Hiroshima Nishi
RJBK,岡南,Konan
RJBT,但馬,Tajima
RJCB,帶廣,Obihiro
RJCC,新千歲,New Chitose
RJCH,函館,Hakodate
RJCK,釧路,Kushiro
RJCM,女滿別,Memanbetsu
RJCN,中標津,Nakashibetsu
RJCO,札幌,Sapporo
RJCR,禮文,Rebun 
RJCW,稚內,Wakkanai
RJDA,天草,Amakusa
RJDB,壹岐,Iki
RJDC,山口宇部,Yamaguchi Ube
RJDK,上五島,Kami-Goto
RJDO,小值賀,Ojika
RJDT,對馬,Tsushima
RJEB,紋別,Monbetsu
RJEC,旭川,Asahikawa
RJEO,奧尻,Okushiri
RJER,利尻,Rishiri
RJFC,屋久島,Yakushima
RJFE,福江,Fukue
RJFF,福岡,Fukuoka
RJFG,種子島,Tanegashima
RJFK,鹿兒島,Kagoshima
RJFM,宮崎,Miyazaki
RJFO,大分,Oita
RJFR,北九州,Kitakyushu
RJFS,佐賀,Saga
RJFT,熊本,Kumamoto
RJFU,長崎,Nagasaki
RJGG,名古屋,Nagoya
RJKA,奄美,Amami
RJKB,沖永良部,Okinoerabu
RJKI,喜界,Kikai
RJKN,德之島,Tokunoshima
RJNA,名古屋/小牧,Nagoya/Komaki
RJNF,福井,Fukui
RJNK,小松,Komatsu
RJNO,隱岐,Oki
RJNS,靜岡,Shizuoka
RJNT,富山,Toyama
RJNW,能登,Noto
RJOA,廣島,Hiroshima
RJOB,岡山,Okayama
RJOC,出雲,Izumo
RJOH,米子,Yanago
RJOI,岩國,Iwakuni
RJOK,高知,Kochi
RJOM,松山,Matsuyama
RJOO,大阪/伊丹,Osaka/Itami
RJOR,鳥取,Tottori
RJOS,德島,Tokushima
RJOT,高松,Takamatsu
RJOW,石見,Iwami
RJOY,八尾,Yao
RJSA,青森,Aomori
RJSC,山形,Yamagata
RJSD,佐渡,Sado
RJSF,福島,Fukushima
RJSI,花卷,Hanamaki
RJSK,秋田,Akita
RJSM,三澤,Misawa
RJSN,新潟,Niigata
RJSR,大館能代,Odate-Noshiro
RJSS,仙台,Sendai
RJSY,庄內,Shonai
RJTF,調布,Chofu
RJTH,八丈島,Hachijojima
RJTO,大島,Oshima
RJTQ,三宅島,Miyakejima
RJTT,東京/羽田,Tokyo/HND
RKJB,務安,Muan
RKJJ,光州,Gwangju
RKJK,群山,Gunsan
RKJM,木浦,Mokpo
RKJY,麗水,Yeosu
RKNW,原州,Wonju
RKNY,襄陽,Yangyang
RKPC,濟州,Jeju
RKPD,靜石,Jeongseok
RKPK,釜山,Busan
RKPS,泗川,Sacheon
RKPU,蔚山,Uisan
RKSI,首爾/仁川,Seoul/ICN
RKSS,首爾/金浦,Seoul/GMP
RKSM,RKSM,RKSM
RKSO,烏山,Osan
RKTH,浦項,Pohang
RKTN,大邱,Daeku
RKTU,清州,Cheongju
ROAH,沖繩,Okinawa
ROIG,石垣,Ishigaki
ROIG,石垣,Ishigaki
ROKJ,久米島,Kumejima
ROKR,慶良間,Kerema
ROMD,南大東,Minami-Daito
ROMY,宮古,Miyako
RORA,粟國,Aguni
RORE,伊江島,Iejima
RORH,波照間,Hateruma
RORK,北大東,Kitadaito
RORS,下地島,Shimoji-shima
RORT,多良間,Tarama
RORY,與論,Yoron
ROYN,與那國,Yonaguni
RPLI,Laoag,Laoag
RPLL,馬尼拉,Manila
RPLC,克拉克,Clark
RPMD,達沃,Davao
RPVI,伊洛伊洛,Iloilo
RPVK,卡利博,Kalibo
RPVM,宿霧,Cebu
RPVP,公主港,Puerto Princesa
TBPB,巴貝多,Barbados
TXKF,百慕達,Bermuda
TNCM,聖馬丁,Saint Maartin
UAAA,阿拉木圖,Almaty
UACC,努爾-蘇丹,Nur-Sultan
UAKK,卡拉干達,Karaganda
UBBB,巴庫,Baku
UCFM,比斯凱克,Bishkek
UHHH,哈巴羅夫斯克,Khabarovsk
UHPP,埃利佐沃,Yelizovo
UHWW,海參崴,Vladivostok
UIII,伊爾庫茨克,Irkutsk
UUBW,茹科夫斯基,Zhukovsky
UUDD,莫斯科/多莫傑多沃,Moscow/DME
UUEE,莫斯科,Moscow
UKBB,基輔,Kiev
UWKD,喀山,Kazan
ULLI,聖彼得堡,St.Petersburg
UNKL,拉斯諾亞爾斯克,Krasnoyarsk
UNNT,新西伯利亞,Novosibirsk
URSS,索契,Sochi
USSS,葉卡捷琳堡,Yekaterinburg
UTAA,阿什哈巴德,Ashgabat
UTAK,土庫曼巴希,Turkmenbashi
UTSA,納沃伊,Navoi
UTTT,Tashkent,Tashkent
VABB,孟買,Mumbai
VCBI,科倫坡,Colombo
VDPP,金邊,Phnom Penh
VDSR,暹粒,Siem Reap
VDSV,西哈努克,Sihanoukville
VECC,加爾各答,Kolkata
VGHS,達卡,Dhaka
VHHH,香港,Hong Kong
VHHX,香港/啟德,Hong Kong/Kai Tak
VHSK,石崗,Shek Kong
VIDP,德里,Delhi
VMMC,澳門,Macau
VNKT,加德滿都,Kathmandu
VOBL.班加羅爾,Bengaluru
VOHS,海得拉巴,Hyderabad
VOMM,馬德拉斯,Chennai
VOTV,特里凡得琅,Trivandrum
VQPR,不丹,Bhutan
VTBD,曼谷/廊曼,Bangkok/DMK
VTBS,曼谷,Bangkok
VTSG,喀比,Krabi
VTSM,蘇梅,Samui
VTSP,布吉,Phuket
VTCC,清邁,Chiang Mai
VRMM,馬累,Male
VVCI,吉碑,Cát Bi
VVCR,芽莊,Nha Trang
VVDN,峴港,Da Nang
VVNB,河內,Hanoi
VVPQ,富國島,Phu QuocS
VVTS,胡志明市,Ho Chi Minh
VYYY,仰光,Yangon
WADD,登巴薩,Denpasar
WALL,Balikpapan,Balikpapan
WAPP,安汶,Ambon
WARR,泗水,Surabaya
WBGG.古晉,Kuching
WBKD,拿篤,Lahad Datu,
WBKK,亞庇,Kota Kinabalu
WBKS,山打根,Sandakan
WBKT,古達,Kudat
WBKW,斗湖,Tawau
WBSB,汶萊,Brunei
WICC,萬隆,Bandung
WIII,雅加達,Jakarta
WMKA,蘇丹阿都,Sultan Abdul
WMKC,哥打峇魯,Kota Bharu
WMKD,關丹,Kuantan
WMKL,浮羅交怡,Langkawi
WMKM,馬六甲,Malacca
WMPA,邦咯,Pangkor
WMPR,熱浪,Redang
WMSA,梳邦,Subang
WMKI,怡保,Ipoh
WMKJ,士乃,Senai
WMKK,吉隆坡,Kuala Lumpur
WMKP,檳城,Penang
WSAP,巴耶利峇,Paya Lebar
WSSL,實里達,Seletar
WSSS,新加坡,Singapore
YAPH,
YBAS,愛麗斯泉,Alice Springs
YBBN,布里斯班,Brisbane
YBCS,開恩茲,Cairns
YBTL,Townsville,Townsville
YBWW,圖文巴,Toowoomba
YMML,墨爾本,Melbourne
YPAD,阿德萊德,Adelaide
YPDN,達爾文,Darwin
YPPH,珀斯,Perth
YSSY,悉尼,Sydney
YTWB,圖文巴,Toowoomba
ZBAA,北京/首都,Beijing/PEK
ZBAD,北京/大興,Beijing/PEX
ZBCD,承德,Chengde
ZBDS,鄂爾多斯,Ordos
ZBDH,秦皇島,Qinhuangdao
ZBHD,邯鄲,Handan
ZBHH,呼和浩特,Hohhot
ZBSJ,石家莊,Shijiazhuang
ZBTJ,天津,Tianjin
ZBTS,唐山,Tangshan
ZBYC,運城,Yuncheng
ZBYN,太原,Taiyuan
ZBZJ,張家口,Zhangjiakou
ZGBH,北海,Beihai
ZGFS.佛山,Foshan
ZGGG,廣州,Guangzhou
ZGHA,長沙,Changsha
ZGNN,南寧,Nanning
ZGOW,揭陽,Jieyang
ZGSD,珠海,Zhuhai
ZGSZ,深圳,Shenzhen
ZHCC,鄭州,Zhengzhou
ZHHH,武漢,Wuhan
ZJHK,海口,Haikou
ZJSY,三亞,Sanya
ZKPY,平壤,Pyongyang
ZLIC,銀川,Yinchuan
ZLXY,西安,XiAn
ZMUB,烏蘭巴托,Ulaanbaatar
ZPPP,昆明,Kunming
ZSAM,廈門,Xiamen
ZSCN,南昌,Nanchang
ZSFY,阜陽,Fuyang
ZSFZ,福州,Fuzhou
ZSHC,杭州,Hangzhou
ZSJN,濟南,Jinan
ZSNB,寧波,Ningbo
ZSNJ,南京,Nanjing
ZSQD,青島,Qingdao
ZSOF,合肥,Hefei
ZSQZ,泉州,Quanzhou
ZSPD,上海/浦東,Shanghai/PVG
ZSSS,上海/虹橋,Shanghai/SHA
ZSWX,無錫,Wuxi
ZSWZ,溫州,Wenzhou
ZUCK,重慶,Chongqing
ZUGY,貴陽,Guiyang
ZULS,拉薩,Lhasa
ZUUU,成都,Chengdu
ZUYI,興義,Xingyi
ZWAT,阿勒泰,Altay
ZWWW,烏魯木齊,Ürümqi
ZYHB,哈爾濱,Harbin
ZYTL,大連,Dalian
ZYTX,瀋陽,Shenyang
